Attack Type,Accuracy,Recall,Precision,F1-Score
BENIGN,0.9973,0.1995,0.2,0.1997
DoS GoldenEye,0.9825,0.2456,0.25,0.2478
DoS Hulk,0.9892,0.4946,0.5,0.4973
DoS Slowhttptest,0.9446,0.3149,0.3333,0.3238
DoS slowloris,0.9564,0.2391,0.25,0.2444
Heartbleed,0.5,0.25,0.5,0.3333
