Attack Type,Accuracy,Recall,Precision,F1-Score
BENIGN,0.9983,0.1997,0.2,0.1998
DoS GoldenEye,0.9937,0.2484,0.25,0.2492
DoS Hulk,0.9924,0.4962,0.5,0.4981
DoS Slowhttptest,0.9895,0.3298,0.3333,0.3316
DoS slowloris,0.9926,0.3309,0.3333,0.3321
Heartbleed,0.5,0.25,0.5,0.3333
