Attack Type,Accuracy,Recall,Precision,F1-Score
BENIGN,0.9979,0.1996,0.2,0.1998
DoS GoldenEye,0.9908,0.2477,0.25,0.2488
DoS Hulk,0.9918,0.3306,0.3333,0.332
DoS Slowhttptest,0.9866,0.3289,0.3333,0.3311
DoS slowloris,0.9861,0.3287,0.3333,0.331
Heartbleed,1.0,1.0,1.0,1.0
