Attack Type,Accuracy,Recall,Precision,F1-Score
BENIGN,0.9995,0.3332,0.3333,0.3333
DoS GoldenEye,0.9976,0.2494,0.25,0.2497
DoS Hulk,0.9996,0.4998,0.5,0.4999
DoS Slowhttptest,0.9952,0.3317,0.3333,0.3325
DoS slowloris,0.9916,0.3305,0.3333,0.3319
Heartbleed,1.0,1.0,1.0,1.0
